Date,Day,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,Date2,lat,long
20100331,90,25.6,25,19.9,25,0.4,25,2.9,25,8.8,42,23,25,70.1,99,31/03/2010,-17.95,145.3
20100401,91,24.4,25,19.5,25,2.5,25,2.3,25,8.9,42,23.4,25,76.6,100,1/04/2010,-17.95,145.3
20100402,92,25.2,25,18.8,25,1.8,25,1.9,25,13.5,42,20.9,25,65.2,96.4,2/04/2010,-17.95,145.3
20100403,93,25.4,25,19.9,25,1.2,25,3.4,25,14.7,42,24.2,25,74.6,100,3/04/2010,-17.95,145.3
20100404,94,25.1,25,19.6,25,0.7,25,3,25,17.4,42,23.7,25,74.4,100,4/04/2010,-17.95,145.3
20100405,95,26.6,25,20.3,25,1.3,25,4.2,25,16.6,42,23.5,25,67.5,98.7,5/04/2010,-17.95,145.3
20100406,96,24.8,25,20.2,25,1,25,2.9,25,14.5,42,23.6,25,75.4,99.7,6/04/2010,-17.95,145.3
20100407,97,27.2,25,19.4,25,0,25,3.5,25,18.9,42,23.4,25,64.9,100,7/04/2010,-17.95,145.3
20100408,98,27.2,25,18.6,25,0.6,25,4.2,25,20.2,42,23.6,25,65.4,100,8/04/2010,-17.95,145.3
20100409,99,28.6,25,17.6,25,0,25,4.5,25,23.5,42,22.5,25,57.5,100,9/04/2010,-17.95,145.3
20100410,100,28.9,25,17.4,25,0,25,4.2,25,23.6,42,22.8,25,57.3,100,10/04/2010,-17.95,145.3
20100411,101,28.9,25,17.6,25,0,25,4.7,25,24,42,22.3,25,56,100,11/04/2010,-17.95,145.3
20100412,102,28.9,25,16,25,0,25,4.1,25,23.5,42,22.7,25,57,100,12/04/2010,-17.95,145.3
20100413,103,29.3,25,17.9,25,0,25,4.6,25,21.5,42,23.7,25,58.2,100,13/04/2010,-17.95,145.3
20100414,104,26.1,25,20,25,0.7,25,4,25,16.9,42,21.4,25,63.3,91.6,14/04/2010,-17.95,145.3
20100415,105,27.3,25,18.7,25,0,25,4.1,25,20.6,42,21.8,25,60.1,100,15/04/2010,-17.95,145.3
20100416,106,26.5,25,18.3,25,0.4,25,4.2,25,18.6,42,21.6,25,62.4,100,16/04/2010,-17.95,145.3
20100417,107,26.6,25,18.7,25,0,25,4.7,25,15.3,42,21.2,25,60.9,98.4,17/04/2010,-17.95,145.3
20100418,108,25.5,25,19.1,25,2,25,3.2,25,13.2,42,22.2,25,68,100,18/04/2010,-17.95,145.3
20100419,109,23.7,25,19.5,25,1.1,25,1.6,25,7.6,42,21.9,25,74.8,96.7,19/04/2010,-17.95,145.3
20100420,110,26.5,25,18.6,25,2.3,25,5,25,18.6,42,20.6,25,59.5,96.2,20/04/2010,-17.95,145.3
20100421,111,26.5,25,19.1,25,0.7,25,3.9,25,15.9,42,21.9,25,63.3,99.1,21/04/2010,-17.95,145.3
20100422,112,27.1,25,20.3,25,0.4,25,3.2,25,13.7,42,22.4,25,62.5,94.1,22/04/2010,-17.95,145.3
20100423,113,26.6,25,20.7,25,1,25,4.1,25,16.5,42,23.2,25,66.6,95.1,23/04/2010,-17.95,145.3
20100424,114,26.6,25,20.3,25,1.4,25,2.7,25,14.9,42,25.2,25,72.4,100,24/04/2010,-17.95,145.3
20100425,115,27,25,20.7,25,0.4,25,3.4,25,15,42,25.6,25,71.8,100,25/04/2010,-17.95,145.3
20100426,116,27.9,25,21,25,2.3,25,3.9,25,18.8,42,26.3,25,70,100,26/04/2010,-17.95,145.3
20100427,117,26.9,25,20.6,25,0,25,2.8,25,13,42,22.7,25,64.1,93.6,27/04/2010,-17.95,145.3
20100428,118,23.6,25,20.1,25,0,25,2.2,25,6.6,42,23.6,25,81,100,28/04/2010,-17.95,145.3
20100429,119,26.2,25,18.5,25,1.9,25,3.5,25,18.7,42,21.8,25,64.1,100,29/04/2010,-17.95,145.3
20100430,120,26.1,25,18.5,25,0,25,4.2,25,10.9,42,22.5,25,66.6,100,30/04/2010,-17.95,145.3
20100501,121,25.9,25,19.1,25,0.9,25,3.8,25,20.9,42,21.1,25,63.2,95.5,1/05/2010,-17.95,145.3
20100502,122,25.7,25,18.2,25,0,25,3.7,25,18.6,42,19.7,25,59.7,94.3,2/05/2010,-17.95,145.3
20100503,123,25.7,25,19.6,25,0.4,25,4.6,25,13.4,42,22,25,66.6,96.5,3/05/2010,-17.95,145.3
20100504,124,26.3,25,19.3,25,3,25,3.9,25,16.8,42,22.3,25,65.2,99.7,4/05/2010,-17.95,145.3
20100505,125,25.8,25,17.2,25,0.6,25,3.4,25,18.5,42,22.6,25,68.1,100,5/05/2010,-17.95,145.3
20100506,126,26.5,25,14.3,25,0,25,5.2,25,21.6,42,19.6,25,56.6,100,6/05/2010,-17.95,145.3
20100507,127,25,25,13.9,25,0,25,5.3,25,17.8,42,16.8,25,53,100,7/05/2010,-17.95,145.3
20100508,128,24,25,14,25,0,25,4.7,25,18.7,42,17.4,25,58.3,100,8/05/2010,-17.95,145.3
20100509,129,23.8,25,15.4,25,0.6,25,3.8,25,13.8,42,16.7,25,56.7,95.5,9/05/2010,-17.95,145.3
20100510,130,25.2,25,16.6,25,1.1,25,3.7,25,16.9,42,19.2,25,59.9,100,10/05/2010,-17.95,145.3
20100511,131,25.8,25,16.8,25,0,25,3.6,25,19.6,42,20.1,25,60.5,100,11/05/2010,-17.95,145.3
20100512,132,24.3,25,17.5,25,0.2,25,3.1,25,15.6,42,20.4,25,67.2,100,12/05/2010,-17.95,145.3
20100513,133,25.3,25,16.8,25,1.3,25,2.8,25,20,42,19.4,25,60.2,100,13/05/2010,-17.95,145.3
20100514,134,25.1,25,16.2,25,0,25,4.4,25,18.5,42,19.1,25,60,100,14/05/2010,-17.95,145.3
20100515,135,25.1,25,14.5,25,0,25,3.9,25,19.8,42,17.7,25,55.6,100,15/05/2010,-17.95,145.3
20100516,136,25.6,25,15.2,25,0,25,3.7,25,19.4,42,17.2,25,52.4,99.6,16/05/2010,-17.95,145.3
20100517,137,22.7,25,16.4,25,0.9,25,1.6,25,4.3,42,19.9,25,72.2,100,17/05/2010,-17.95,145.3
20100518,138,24.1,25,16.4,25,5.2,25,3.2,25,12,42,19.6,25,65.3,100,18/05/2010,-17.95,145.3
20100519,139,22.5,25,15.3,25,0,25,2.6,25,14.2,42,16.9,25,62,97.3,19/05/2010,-17.95,145.3
20100520,140,24.3,25,13.6,25,0,25,2.9,25,17.8,42,16.2,25,53.3,100,20/05/2010,-17.95,145.3
20100521,141,25.1,25,16.1,25,0,25,2.6,25,14.3,42,19.9,25,62.5,100,21/05/2010,-17.95,145.3
20100522,142,26.8,25,16,25,0.1,25,3,25,18.3,42,19.2,25,54.5,100,22/05/2010,-17.95,145.3
20100523,143,26.3,25,16.7,25,0,25,3.6,25,18,42,20.8,25,60.8,100,23/05/2010,-17.95,145.3
20100524,144,26.9,25,17.3,25,0,25,2.8,25,18.3,42,21.6,25,61,100,24/05/2010,-17.95,145.3
20100525,145,28.7,25,15.4,25,0,25,3.4,25,18.4,42,22,25,55.9,100,25/05/2010,-17.95,145.3
20100526,146,28.5,25,17.5,25,0.2,25,3.6,25,16.2,42,22.2,25,57.1,100,26/05/2010,-17.95,145.3
20100527,147,24.8,25,16.8,25,0,25,3.5,25,18.8,42,16.8,25,53.7,87.9,27/05/2010,-17.95,145.3
20100528,148,25.2,25,14,25,0,25,3.3,25,18.8,42,17.6,25,54.9,100,28/05/2010,-17.95,145.3
20100529,149,28,25,16.7,25,0,25,3.9,25,16.9,42,20.1,25,53.2,100,29/05/2010,-17.95,145.3
20100530,150,24.5,25,15.5,25,0,25,3.7,25,18.6,42,16.2,25,52.7,92.1,30/05/2010,-17.95,145.3
20100531,151,23.2,25,13,25,0,25,3.9,25,18.1,42,13.6,25,47.8,90.9,31/05/2010,-17.95,145.3
20100601,152,23.6,25,10.4,25,0,25,3.3,25,19.2,42,13.9,25,47.7,100,1/06/2010,-17.95,145.3
20100602,153,25.1,25,12.7,25,0,25,3.2,25,16.4,42,17.2,25,54,100,2/06/2010,-17.95,145.3
20100603,154,25.6,25,16.2,25,0,25,3.2,25,16.3,42,19.1,25,58.2,100,3/06/2010,-17.95,145.3
20100604,155,25.7,25,15.9,25,0,25,3.8,25,15.5,42,19.3,25,58.5,100,4/06/2010,-17.95,145.3
20100605,156,24.6,25,15.6,25,0,25,4,25,18.7,42,13.7,25,44.3,77.3,5/06/2010,-17.95,145.3
20100606,157,23.7,25,9.7,25,0,25,3.7,25,18.6,42,12.7,25,43.4,100,6/06/2010,-17.95,145.3
20100607,158,23.7,25,9.6,25,0,25,3.4,25,18.6,42,14,25,47.8,100,7/06/2010,-17.95,145.3
20100608,159,23.1,25,11.9,25,0,25,3.4,25,18.6,42,15.3,25,54.2,100,8/06/2010,-17.95,145.3
20100609,160,24.6,25,10.3,25,0,25,3.3,25,18.6,42,16.4,25,53,100,9/06/2010,-17.95,145.3
20100610,161,24.4,25,11.8,25,0,25,3.1,25,16.8,42,17.2,25,56.3,100,10/06/2010,-17.95,145.3
20100611,162,24.1,25,11.8,25,0,25,3.3,25,14.9,42,17.6,25,58.7,100,11/06/2010,-17.95,145.3
20100612,163,24.3,25,14.5,25,0,25,4.2,25,17.9,42,16.3,25,53.7,98.8,12/06/2010,-17.95,145.3
20100613,164,22.5,25,12,25,0,25,4.6,25,17.6,42,13.7,25,50.3,97.7,13/06/2010,-17.95,145.3
20100614,165,23.4,25,11.4,25,0,25,3.5,25,16.1,42,14.7,25,51.1,100,14/06/2010,-17.95,145.3
20100615,166,23.6,25,15.7,25,0,25,3.7,25,16.3,42,17.2,25,59.1,96.5,15/06/2010,-17.95,145.3
20100616,167,22.4,25,16.6,25,0.1,25,3.2,25,10.5,42,18.5,25,68.3,98,16/06/2010,-17.95,145.3
20100617,168,24.2,25,15.2,25,0.9,25,3.6,25,18,42,17.6,25,58.3,100,17/06/2010,-17.95,145.3
20100618,169,24.7,25,13.2,25,0.1,25,3.4,25,16.7,42,18.4,25,59.2,100,18/06/2010,-17.95,145.3
20100619,170,24.6,25,11.6,25,0,25,4.5,25,17,42,17,25,55,100,19/06/2010,-17.95,145.3
20100620,171,21.3,25,14.3,25,0.2,25,4.8,25,9.7,42,14,25,55.3,85.9,20/06/2010,-17.95,145.3
20100621,172,22.9,25,11.9,25,0,25,3.2,25,17.7,42,11.7,25,41.9,84,21/06/2010,-17.95,145.3
20100622,173,22.4,25,15.7,25,0,25,2.9,25,6.1,42,17,25,62.8,95.4,22/06/2010,-17.95,145.3
20100623,174,22.4,25,16.2,25,0.8,25,2.8,25,8,42,17,25,62.8,92.4,23/06/2010,-17.95,145.3
20100624,175,22.4,25,15.9,25,0.3,25,2.9,25,12.4,42,16.2,25,59.8,89.7,24/06/2010,-17.95,145.3
20100625,176,23.2,25,14.6,25,0.6,25,3.1,25,12,42,18.3,25,64.4,100,25/06/2010,-17.95,145.3
20100626,177,23.6,25,16.8,25,0.9,25,3.3,25,10.4,42,19.7,25,67.7,100,26/06/2010,-17.95,145.3
20100627,178,25,25,15,25,0.2,25,2.9,25,16.9,42,18.7,25,59,100,27/06/2010,-17.95,145.3
20100628,179,25.6,25,13.2,25,0,25,3.3,25,17.5,42,17.4,25,53,100,28/06/2010,-17.95,145.3
20100629,180,25.5,25,13.8,25,0,25,3.7,25,17.4,42,19.2,25,58.9,100,29/06/2010,-17.95,145.3
20100630,181,24.5,25,14.1,25,0.2,25,3.4,25,13.7,42,19,25,61.8,100,30/06/2010,-17.95,145.3
20100701,182,24.2,25,14.4,25,0,25,3.4,25,16.3,42,18,25,59.6,100,1/07/2010,-17.95,145.3
20100702,183,23.1,25,17.1,25,0.1,25,2.6,25,9.5,42,20.5,25,72.6,100,2/07/2010,-17.95,145.3
20100703,184,23.8,25,17.3,25,1.2,25,2.7,25,8.1,42,19,25,64.5,96.3,3/07/2010,-17.95,145.3
20100704,185,21.6,25,17.6,25,0.7,25,3.4,25,7.5,42,17.4,25,67.5,86.5,4/07/2010,-17.95,145.3
20100705,186,22.4,25,16.6,25,0.9,25,3.2,25,7.4,42,19.1,25,70.5,100,5/07/2010,-17.95,145.3
20100706,187,25,25,16.7,25,0,25,3.2,25,10.6,42,19.1,25,60.3,100,6/07/2010,-17.95,145.3
20100707,188,24.7,25,15.9,25,0.1,25,2.5,25,16.3,42,19.7,25,63.3,100,7/07/2010,-17.95,145.3
20100708,189,24.3,25,17,25,0,25,3.2,25,13.2,42,20,25,65.9,100,8/07/2010,-17.95,145.3
20100709,190,23.8,25,16.9,25,0.7,25,2.8,25,10.7,42,19.4,25,65.8,100,9/07/2010,-17.95,145.3
20100710,191,22.5,25,17.1,25,0,25,3.3,25,7.4,42,17.6,25,64.6,90.3,10/07/2010,-17.95,145.3
20100711,192,22.4,25,13,25,0.1,25,2.9,25,13.2,42,17.4,25,64.3,100,11/07/2010,-17.95,145.3
20100712,193,23.5,25,16,25,0.3,25,4.2,25,12,42,17.8,25,61.5,98,12/07/2010,-17.95,145.3
20100713,194,23.4,25,15.3,25,1,25,2.5,25,13.7,42,19.3,25,67.1,100,13/07/2010,-17.95,145.3
20100714,195,24.3,25,14.7,25,0.2,25,3.3,25,18.2,42,18.8,25,61.9,100,14/07/2010,-17.95,145.3
20100715,196,23.6,25,13.8,25,0,25,3,25,12.2,42,18.3,25,62.8,100,15/07/2010,-17.95,145.3
20100716,197,23,25,14.5,25,0.1,25,4.4,25,8.6,42,16.1,25,57.3,97.6,16/07/2010,-17.95,145.3
20100717,198,22.4,25,12.5,25,0,25,3.7,25,8.7,42,15.4,25,56.9,100,17/07/2010,-17.95,145.3
20100718,199,22.7,25,14.7,25,0,25,2.9,25,13.1,42,18.3,25,66.4,100,18/07/2010,-17.95,145.3
20100719,200,25.9,25,14.4,25,0.4,25,4.4,25,17.8,42,18.1,25,54.2,100,19/07/2010,-17.95,145.3
20100720,201,24.9,25,12.2,25,0,25,3.3,25,16.4,42,16.1,25,51.1,100,20/07/2010,-17.95,145.3
20100721,202,22.5,25,12.5,25,0,25,3,25,10.3,42,17.5,25,64.2,100,21/07/2010,-17.95,145.3
20100722,203,21.8,25,16.4,25,0.5,25,3.7,25,8.3,42,16.3,25,62.4,87.4,22/07/2010,-17.95,145.3
20100723,204,21.6,25,13.2,25,0.2,25,3.4,25,10.4,42,13.9,25,53.9,91.7,23/07/2010,-17.95,145.3
20100724,205,22.3,25,15.6,25,1.2,25,2.9,25,7.1,42,18.1,25,67.2,100,24/07/2010,-17.95,145.3
20100725,206,23.5,25,17.1,25,0.4,25,3.3,25,9.3,42,19.3,25,66.7,99,25/07/2010,-17.95,145.3
20100726,207,22.8,25,18,25,2.1,25,2.8,25,4.6,42,19.7,25,71,95.5,26/07/2010,-17.95,145.3
20100727,208,22.4,25,18.1,25,3.5,25,2.7,25,8.1,42,20,25,73.9,96.3,27/07/2010,-17.95,145.3
20100728,209,25.2,25,17.6,25,0.8,25,4,25,10.7,42,19.5,25,60.8,96.9,28/07/2010,-17.95,145.3
20100729,210,26.1,25,17.9,25,0.6,25,4,25,11.8,42,19.4,25,57.4,94.6,29/07/2010,-17.95,145.3
20100730,211,26.9,25,17.4,25,0,25,4.2,25,18.3,42,20.3,25,57.3,100,30/07/2010,-17.95,145.3
20100731,212,26.9,25,17.4,25,0,25,3.9,25,16,42,19.8,25,55.9,99.7,31/07/2010,-17.95,145.3
20100801,213,26.9,25,15.8,25,0,25,4.5,25,19.7,42,19.5,25,55,100,1/08/2010,-17.95,145.3
20100802,214,25.2,25,15.2,25,0,25,4.3,25,15.6,42,17.6,25,54.9,100,2/08/2010,-17.95,145.3
20100803,215,22.6,25,13,25,0,25,4.3,25,20.6,42,11.7,25,42.7,78.2,3/08/2010,-17.95,145.3
20100804,216,22.2,25,8.7,25,0,25,4.7,25,20.8,42,9.3,25,34.8,82.7,4/08/2010,-17.95,145.3
20100805,217,25.6,25,10.5,25,0,25,3.4,25,19.2,42,15.6,25,47.5,100,5/08/2010,-17.95,145.3
20100806,218,26.4,25,14.1,25,0.2,25,4.9,25,20.3,42,16.6,25,48.2,100,6/08/2010,-17.95,145.3
20100807,219,24.5,25,15.7,25,0,25,5.5,25,19.3,42,14.2,25,46.2,79.7,7/08/2010,-17.95,145.3
20100808,220,23.7,25,12.3,25,0,25,4.5,25,21,42,14.8,25,50.5,100,8/08/2010,-17.95,145.3
20100809,221,26.4,25,15.1,25,0,25,4.2,25,20.1,42,17.5,25,50.9,100,9/08/2010,-17.95,145.3
